step,pe,temperature,pressure,density,volume
0,-15315.381251964019611,0,5123.8844822388955436,0.89999992079229629294,71263.251796415032004
100,-19570.933446235492738,551.97355236656346733,1027.6674561761842597,0.89999992079229629294,71263.251796415032004
200,-19683.417728334803542,483.69038702436688482,196.51779798582191461,0.89999992079229607089,71263.251796415032004
300,-19917.945031969669799,453.32197376682819367,-1607.2918258810227599,0.89999992079229629294,71263.251796415032004
400,-20017.792266362514056,423.42930982128342521,-1381.4440265342955172,0.89999992079229629294,71263.251796415032004
500,-20134.973058230367315,413.484671591547567,-1757.7033639291921645,0.89999992079229629294,71263.251796415032004
600,-20075.458724398333288,399.52396323661577071,-1656.1682880670657596,0.89999992079229629294,71263.251796415032004
700,-20065.904864783980884,424.06880920184767092,-1825.2348358929436927,0.89999992079229629294,71263.251796415032004
800,-19966.926239589938632,434.53819978149380177,-1084.942928487461586,0.89999992079229629294,71263.251796415032004
900,-19916.113148142452701,435.90001241620598194,-1271.3642059001190319,0.89999992079229640396,71263.251796415032004
1000,-20004.665705766481551,431.87944074120918003,-883.54008706061085832,0.89999992079229629294,71263.251796415032004
1100,-20079.584959009844169,423.26537484651697696,-1447.8762978804520571,0.89999992079229629294,71263.251796415032004
1200,-20054.773503329895902,412.74362135586903833,-1700.4502202058818057,0.89999992079229629294,71263.251796415032004
1300,-20052.10068301508727,422.87856408513243878,-774.33216058185121256,0.89999992079229629294,71263.251796415032004
1400,-20031.488698731503973,430.15423317585106133,-1336.8627420062416604,0.89999992079229607089,71263.251796415032004
1500,-19977.39215209287795,427.32955257122296189,-1127.5855756616465442,0.89999992079229629294,71263.251796415032004
1600,-19979.747620272013592,421.76203234117360807,-1029.2330527073067969,0.89999992079229629294,71263.251796415032004
1700,-20140.635125123055332,435.06442677968442467,-1180.6649617675311674,0.89999992079229629294,71263.251796415032004
1800,-20057.187197009989177,410.60726495122520419,-1490.4743145696518241,0.89999992079229640396,71263.251796415032004
1900,-20086.049971276763245,420.92790255820881384,-1266.2918692304251636,0.89999992079229629294,71263.251796415032004
2000,-19985.009419317502761,420.31017108489891143,-1149.4040374434098339,0.89999992079229629294,71263.251796415032004
2100,-19969.807359812170034,432.03351206177285349,-1138.1440235623053923,0.89999992079229629294,71263.251796415032004
2200,-19948.656050982754095,432.791219507865776,-893.90458828524106139,0.89999992079229607089,71263.251796415032004
2300,-19954.145043278102094,420.15012051769087975,-1343.8493501069567628,0.89999992079229629294,71263.251796415032004
2400,-19993.013005803222768,415.94465161045701507,-1325.5500443174578322,0.89999992079229629294,71263.251796415032004
2500,-20045.893654855481145,425.97725065820247892,-1476.2106528047943357,0.89999992079229629294,71263.251796415032004
2600,-20043.680154584071715,431.37170043418774412,-1167.4290677481437797,0.89999992079229629294,71263.251796415032004
2700,-20033.354665953676886,434.57593565314761008,-1739.2878521571656165,0.89999992079229629294,71263.251796415032004
2800,-19994.896525550302613,426.10652118627677964,-2189.0922115486905568,0.89999992079229629294,71263.251796415032004
2900,-20031.38047183906383,424.04086182432689611,-1336.692513226275878,0.89999992079229607089,71263.251796415032004
3000,-20016.734140618405945,410.39353338701567964,-1941.6204685926422826,0.89999992079229629294,71263.251796415032004
3100,-20083.931626636382134,423.20436137140774235,-1289.8970921397017264,0.89999992079229629294,71263.251796415032004
3200,-20020.045835234777769,432.50333720111149205,-1770.8939365713843017,0.89999992079229640396,71263.251796415032004
3300,-20015.357578476163326,438.23761461263137562,-1720.7697063155269461,0.89999992079229629294,71263.251796415032004
3400,-20092.272094764382928,442.13656972789499378,-1756.264753725067294,0.89999992079229629294,71263.251796415032004
3500,-20019.25331764648945,419.53102775250209788,-1423.9360033079062759,0.89999992079229640396,71263.251796415032004
3600,-20014.949384328552696,416.98135052055897631,-761.21552782866717735,0.89999992079229640396,71263.251796415032004
3700,-20044.219468574578059,424.86091754776975904,-1734.37011916708434,0.89999992079229629294,71263.251796415032004
3800,-20028.838277872237086,425.69420498627152938,-1243.4022539457798757,0.89999992079229640396,71263.251796415032004
3900,-20026.893026007601293,428.96919026228556504,-1439.4454812585236141,0.89999992079229629294,71263.251796415032004
4000,-19965.339392212117673,421.32920760986525011,-962.53097235496989015,0.89999992079229629294,71263.251796415032004
4100,-20026.610542890637589,428.41107673512351539,-1257.050686003378587,0.89999992079229629294,71263.251796415032004
4200,-20049.628796585420787,432.24843088239862254,-1440.4442423443433654,0.89999992079229629294,71263.251796415032004
4300,-20008.03509940749791,429.13640578834031203,-1635.3374143553539852,0.89999992079229629294,71263.251796415032004
4400,-19879.665843044749636,424.4428914727431561,-1568.6953512698898976,0.89999992079229629294,71263.251796415032004
4500,-19999.630933977772656,451.69239970880175861,-1826.6100539862222831,0.89999992079229629294,71263.251796415032004
4600,-19979.340774101627176,433.10957379322343286,-815.27660249092571121,0.89999992079229629294,71263.251796415032004
4700,-19929.948095504943922,415.06927619004977714,-1251.5070638620711634,0.89999992079229629294,71263.251796415032004
4800,-19930.988280606896296,416.53031948297007148,-1354.0326468505049888,0.89999992079229629294,71263.251796415032004
4900,-19963.706787088874989,428.1318477834365126,-1706.6397285360560545,0.89999992079229629294,71263.251796415032004
5000,-19908.11732831293557,426.23492432361030069,-1044.8503613238431171,0.89999992079229629294,71263.251796415032004
5100,-19968.763173747131077,433.94238368125024863,-1332.8072051025046676,0.89999992079229629294,71263.251796415032004
5200,-20026.470823265488434,428.69398717986308611,-1351.261493678918896,0.89999992079229629294,71263.251796415032004
5300,-19993.912529632416408,413.41222809774961888,-1737.4953818296921781,0.89999992079229629294,71263.251796415032004
5400,-20080.34882786068556,430.81537930105514533,-1304.7004046408358136,0.89999992079229629294,71263.251796415032004
5500,-20045.528441047285014,436.61117974736191627,-1940.9962458710697319,0.89999992079229629294,71263.251796415032004
5600,-19932.719241035534651,433.27489890807288475,-1232.1320740296669101,0.89999992079229629294,71263.251796415032004
5700,-19892.240068326434994,429.55329342094398726,-722.14149724892433824,0.89999992079229629294,71263.251796415032004
5800,-20052.332091178453993,433.28696197149400859,-1152.6302757372366159,0.89999992079229629294,71263.251796415032004
5900,-20057.718866389437608,423.63037292230097819,-1312.1654116173638158,0.89999992079229629294,71263.251796415032004
6000,-20023.433346158242784,416.82189300617454819,-882.7035683529607013,0.89999992079229629294,71263.251796415032004
6100,-20015.833851612202125,425.60018399313753434,-1089.7970754614070756,0.89999992079229629294,71263.251796415032004
6200,-19966.632762118399114,428.20880098821737647,-1414.3516841850671426,0.89999992079229640396,71263.251796415032004
6300,-20036.609146445320221,428.16910023214882131,-1497.5160380226363941,0.89999992079229629294,71263.251796415032004
6400,-20020.310855474286654,409.53440851952728963,-1439.0558894635855722,0.89999992079229640396,71263.251796415032004
6500,-19986.054757384903496,409.7981459779352349,-1236.5400374208879839,0.89999992079229629294,71263.251796415032004
6600,-19966.19840182428743,420.28793923870517801,-2006.7564213718001156,0.89999992079229629294,71263.251796415032004
6700,-19926.825764400222397,422.58447374905847482,-1616.6941054392239039,0.89999992079229629294,71263.251796415032004
6800,-19925.473532080126461,420.97028401270210907,-1698.4798638945662788,0.89999992079229629294,71263.251796415032004
6900,-19989.542067214177223,422.00428882802248154,-1697.6299284909305243,0.89999992079229629294,71263.251796415032004
7000,-19965.133805500001472,407.77305340090418895,-1475.6321102336933109,0.89999992079229629294,71263.251796415032004
7100,-20013.122988116891065,416.00220799105710512,-1595.2736160702254438,0.89999992079229629294,71263.251796415032004
7200,-20007.128514184540109,433.24381441093800049,-1382.5615437935357477,0.89999992079229629294,71263.251796415032004
7300,-19947.155302381557703,430.25492955652401861,-1693.8791112091628293,0.89999992079229629294,71263.251796415032004
7400,-19944.712593387590459,431.10255317763022731,-1508.1866412890317406,0.89999992079229629294,71263.251796415032004
7500,-19972.622873396176146,422.25727765507900813,-1969.9292796745819487,0.89999992079229640396,71263.251796415032004
7600,-20012.770052661126101,417.43509697582896933,-2125.6269451699217825,0.89999992079229640396,71263.251796415032004
7700,-20037.343216450077307,423.83804837365431695,-1688.2994520758466024,0.89999992079229629294,71263.251796415032004
7800,-20013.325519475511101,429.4014803158050313,-1513.5050999306174617,0.89999992079229629294,71263.251796415032004
7900,-19951.719726329200057,428.22242651623173515,-1351.6864540231611045,0.89999992079229629294,71263.251796415032004
8000,-19917.219466388167348,440.25002297551350239,-1318.4924027080701308,0.89999992079229629294,71263.251796415032004
8100,-19824.853211665234994,440.45934544961295387,-1111.5511702515398156,0.89999992079229629294,71263.251796415032004
8200,-19925.235222621486173,439.13884147275098258,-2026.1721773428503184,0.89999992079229640396,71263.251796415032004
8300,-19954.095113448209304,429.73695452220931656,-1344.2237519257707845,0.89999992079229629294,71263.251796415032004
8400,-19989.041814900665486,425.40463769186663967,-2053.3049639517544165,0.89999992079229629294,71263.251796415032004
8500,-20109.63580636955885,435.40578497413235937,-1926.2250700759045685,0.89999992079229629294,71263.251796415032004
8600,-20081.151535617289483,424.13106914966334671,-1777.5107725403474888,0.89999992079229629294,71263.251796415032004
8700,-20046.215958054774092,417.06079419664558827,-1823.2732780479748271,0.89999992079229629294,71263.251796415032004
8800,-19997.20720435459225,428.41103563571994073,-2013.2680831229256455,0.89999992079229640396,71263.251796415032004
8900,-19919.178919421588944,424.60636776145639715,-1830.0477071949030687,0.89999992079229607089,71263.251796415032004
9000,-19977.026549063288257,432.95564475687854156,-1739.0111547456140215,0.89999992079229629294,71263.251796415032004
9100,-19979.773895734491816,418.32619703049454074,-1692.2441177553525904,0.89999992079229607089,71263.251796415032004
9200,-20093.294768384941563,426.79987868299150477,-1739.7865461401422635,0.89999992079229629294,71263.251796415032004
9300,-20002.838382960260788,414.37959296359616701,-1001.3818223274224692,0.89999992079229629294,71263.251796415032004
9400,-20017.915531204536819,423.68132141673510205,-1825.7449746651725491,0.89999992079229629294,71263.251796415032004
9500,-19976.46790311001314,418.90072093713757795,-1702.3491667000650978,0.89999992079229640396,71263.251796415032004
9600,-19973.038374662897695,427.36315588473530624,-1389.2994674271376425,0.89999992079229640396,71263.251796415032004
9700,-20067.520550601700961,448.40725952089240991,-1550.8254457987172827,0.89999992079229640396,71263.251796415032004
9800,-20029.556149161682697,427.24160409069298794,-1668.9686305515876938,0.89999992079229629294,71263.251796415032004
9900,-20049.56175417688064,418.30234039076663066,-1531.4425729980080177,0.89999992079229629294,71263.251796415032004
10000,-20057.313952565928048,424.61546235495546853,-1256.1147497623505842,0.89999992079229607089,71263.251796415032004
10100,-19957.333699575101491,418.52513290320104034,-1782.8624948543185837,0.89999992079229629294,71263.251796415032004
10200,-19973.13152729049034,433.93617928729429423,-1216.7708857322215863,0.89999992079229640396,71263.251796415032004
10300,-19962.787338158352213,431.18020298209546581,-1789.2909388713301269,0.89999992079229640396,71263.251796415032004
10400,-19930.656972781642253,422.44035832305291933,-2482.7163026124212593,0.89999992079229629294,71263.251796415032004
10500,-20025.256279388879193,434.62043303995892529,-1406.1948782552547073,0.89999992079229629294,71263.251796415032004
10600,-19973.465699835916894,421.20392221212767936,-1459.7389258178591263,0.89999992079229629294,71263.251796415032004
10700,-20023.999261668745021,430.79184808460530576,-1272.7698371481251343,0.89999992079229629294,71263.251796415032004
10800,-19960.151953062555549,426.18109525670058702,-1839.8526304944564345,0.89999992079229629294,71263.251796415032004
10900,-19925.599798510291293,437.06288976580350436,-1123.9495690347437176,0.89999992079229607089,71263.251796415032004
